ID,Current_Location,Current_Local_ID,Sex,Birth_Date,Sire,Dam,Birth_Type,Event_Type,Date,Location
,,,,,,,,Transfer,13/Jul/2000,WHEELING
,,,,,,,,Death,19/Aug/2001,WHEELING
1084,PHILADELP,102635,Female,08/Aug/1992,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,08/Aug/1992,PHILADELP
,,,,,,,,Death,07/Jun/1999,PHILADELP
1085,PHILADELP,102636,Undetermined,08/Aug/1992,1041,1040,Captive Birth/Hatch,Birth/Hatch,08/Aug/1992,PHILADELP
,,,,,,,,Death,10/Aug/1992,PHILADELP
1086,PHILADELP,102637,Undetermined,08/Aug/1992,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,08/Aug/1992,PHILADELP
,,,,,,,,Death,09/Aug/1992,PHILADELP
1087,TAIPEI,1682,Female,Undetermined,UND,UND,Undetermined,Birth/Hatch,Undetermined,Undetermined
,,,,,,,,Transfer,Undetermined,FERNDALE
,,,,,,,,Transfer,17/Jan/1987,TAIPEI
,,,,,,,,Death,01/Jul/2003,TAIPEI
1088,CLEVELAND,970689,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,22/Sep/1993,SEATTLE
,,,,,,,,Transfer,27/Jun/1997,CLEVELAND
,,,,,,,,Death,09/Aug/2008,CLEVELAND
1089,SANDIEGOZ,594333,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,03/Apr/1993,LOSANGELE
,,,,,,,,Transfer,08/Jul/1994,SANDIEGOZ
,,,,,,,,Death,27/Feb/2009,SANDIEGOZ
1090,OASES,Picture,Male,14/Nov/1992,1015,1014,Captive Birth/Hatch,Birth/Hatch,14/Nov/1992,CRYSTAL G
,,,,,,,,Transfer,22/Mar/2005,OASES
,,,,,,,,Death,05/Jun/2007,OASES
1091,IND RIV R,591,Female,14/Nov/1992,1015,1014,Captive Birth/Hatch,Birth/Hatch,14/Nov/1992,CRYSTAL G
,,,,,,,,Transfer,15/Oct/2004,IND RIV R
,,,,,,,,Death,21/Nov/2007,IND RIV R
1092,SANDIEGOZ,593089,Male,24/Mar/1993,1017,1021,"Captive
Birth/Hatch",Birth/Hatch,24/Mar/1993,SANDIEGOZ
,,,,,,,,Death,27/Mar/1993,SANDIEGOZ
1093,HOUSTON,17084,Male,30/May/1993,1051,1054,Captive Birth/Hatch,Birth/Hatch,30/May/1993,CHICAGOBR
,,,,,,,,Transfer,16/Sep/1997,HOUSTON
,,,,,,,,Death,20/Apr/2003,HOUSTON
1094,CINCINNAT,193269,Female,30/May/1993,1051,1054,Captive Birth/Hatch,Birth/Hatch,30/May/1993,CHICAGOBR
,,,,,,,,Transfer,24/Mar/1994,CINCINNAT
,,,,,,,,Death,22/Apr/1994,CINCINNAT
1095,PHILADELP,102867,Female,09/Mar/1994,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,09/Mar/1994,PHILADELP
,,,,,,,,Death,10/Mar/1994,PHILADELP
1096,PHILADELP,102866,Male,09/Mar/1994,1041,1040,Captive Birth/Hatch,Birth/Hatch,09/Mar/1994,PHILADELP
,,,,,,,,Death,16/Mar/1994,PHILADELP
1097,DUKE PRIM,2901,Female,15/Mar/1994,1023,1008,"Captive
Birth/Hatch",Birth/Hatch,15/Mar/1994,DUKE PRIM
,,,,,,,,Death,14/Jun/2013,DUKE PRIM
1098,SANDIEGOZ,599469,Male,18/Mar/1994,1051,1054,Captive Birth/Hatch,Birth/Hatch,18/Mar/1994,CHICAGOBR
,,,,,,,,Transfer,04/Dec/1999,SANDIEGOZ
,,,,,,,,Death,01/Oct/2008,SANDIEGOZ
1099,MEMPHIS,17370,Female,18/Mar/1994,1051,1054,Captive Birth/Hatch,Birth/Hatch,18/Mar/1994,CHICAGOBR
,,,,,,,,Transfer,08/Dec/1997,MEMPHIS
,,,,,,,,Death,01/Jan/2006,MEMPHIS
1100,DUKE PRIM,2903,Female,11/Apr/1994,1012,1044,"Captive
Birth/Hatch",Birth/Hatch,11/Apr/1994,DUKE PRIM
,,,,,,,,Death,11/Apr/1994,DUKE PRIM
1101,DUKE PRIM,2904,Female,11/Apr/1994,1012,1044,Captive Birth/Hatch,Birth/Hatch,11/Apr/1994,DUKE PRIM
,,,,,,,,Death,11/Apr/1994,DUKE PRIM
1102,SEATTLE,950018,Male,11/Feb/1995,1064,1088,Captive Birth/Hatch,Birth/Hatch,11/Feb/1995,SEATTLE
,,,,,,,,Death,08/Jul/2007,SEATTLE
1103,DUKE PRIM,2907,Male,15/Feb/1995,1012,1044,"Captive
Birth/Hatch",Birth/Hatch,15/Feb/1995,DUKE PRIM
,,,,,,,,Death,22/Aug/2009,DUKE PRIM
1104,SEATTLE,202338,Male,15/Feb/1995,1012,1044,Captive Birth/Hatch,Birth/Hatch,15/Feb/1995,DUKE PRIM
,,,,,,,,Transfer,23/Apr/1998,OMAHA
,,,,,,,,Transfer,07/Nov/2006,SEATTLE
,,,,,,,,Death,18/Aug/2010,SEATTLE
1105,SANDIEGOZ,595042,Female,22/Feb/1995,1057,1060,Captive Birth/Hatch,Birth/Hatch,22/Feb/1995,SANDIEGOZ
,,,,,,,,Death,24/Jun/2014,SANDIEGOZ
1106,MEMPHIS,16671,Male,23/Feb/1995,1041,1040,Captive Birth/Hatch,Birth/Hatch,23/Feb/1995,PHILADELP
,,,,,,,,Transfer,04/Mar/1997,MEMPHIS
,,,,,,,,Death,01/Jun/2005,MEMPHIS
1107,CHICAGOBR,970083,Female,23/Feb/1995,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,23/Feb/1995,PHILADELP
,,,,,,,,Transfer,20/Feb/1997,CINCINNAT
,,,,,,,,Transfer,03/Apr/1997,CHICAGOBR
,,,,,,,,Death,02/Jun/2004,CHICAGOBR
1108,SANDIEGOZ,595052,Male,26/Feb/1995,1017,1019,Captive Birth/Hatch,Birth/Hatch,26/Feb/1995,SANDIEGOZ
,,,,,,,,Death,10/Jun/2014,SANDIEGOZ
1109,CHICAGOBR,950045,Female,26/Mar/1995,1051,1054,Captive Birth/Hatch,Birth/Hatch,26/Mar/1995,CHICAGOBR
,,,,,,,,Death,07/Mar/1998,CHICAGOBR
1110,CHICAGOBR,950046,Male,26/Mar/1995,1051,1054,Captive Birth/Hatch,Birth/Hatch,26/Mar/1995,CHICAGOBR
,,,,,,,,Death,26/Mar/1995,CHICAGOBR
1113,SANDIEGOZ,595444,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,,Transfer,Undetermined,PUBLIC
,,,,,,,,Transfer,27/Mar/1995,HOGLE
,,,,,,,,Transfer,02/Nov/1995,SANDIEGOZ
,,,,,,,,Death,02/Mar/2011,SANDIEGOZ
1114,CRYSTAL G,,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,TORONTO
,,,,,,,,Transfer,06/Jun/1995,CRYSTAL G
,,,,,,,,Death,20/Jan/2000,CRYSTAL G
1115,CLEVELAND,111009,Female,05/Jan/1996,1064,1088,"Captive
Birth/Hatch",Birth/Hatch,05/Jan/1996,SEATTLE
,,,,,,,,Transfer,23/Apr/1998,OMAHA
,,,,,,,,Transfer,17/Oct/2008,WILD WRLD
,,,,,,,,Transfer,07/Oct/2011,CLEVELAND
,,,,,,,,Death,06/Aug/2013,CLEVELAND
1116,CHICAGOBR,980287,Male,05/Jan/1996,1064,1088,Captive Birth/Hatch,Birth/Hatch,05/Jan/1996,SEATTLE
,,,,,,,,Transfer,01/Oct/1998,CHICAGOBR
,,,,,,,,Death,30/Jan/2009,CHICAGOBR
1117,CHICAGOBR,960040,Female,02/Feb/1996,1051,1054,"Captive
Birth/Hatch",Birth/Hatch,02/Feb/1996,CHICAGOBR
,,,,,,,,Death,02/Feb/1996,CHICAGOBR
1118,CHICAGOBR,960041,Female,02/Feb/1996,1051,1054,"Captive
Birth/Hatch",Birth/Hatch,02/Feb/1996,CHICAGOBR
,,,,,,,,Death,02/Feb/1996,CHICAGOBR
1119,SANDIEGOZ,596028,Male,07/Feb/1996,1059,1058,Captive Birth/Hatch,Birth/Hatch,07/Feb/1996,SANDIEGOZ
,,,,,,,,Death,08/Feb/1996,SANDIEGOZ
1120,CHICAGOBR,108,Female,07/Feb/1996,1059,1058,Captive Birth/Hatch,Birth/Hatch,07/Feb/1996,SANDIEGOZ
,,,,,,,,Transfer,28/Jun/2002,CHICAGOBR
,,,,,,,,Death,21/May/2015,CHICAGOBR
1121,MOODY,3221,Male,20/Feb/1996,1057,1060,Captive Birth/Hatch,Birth/Hatch,20/Feb/1996,SANDIEGOZ
,,,,,,,,Transfer,16/Oct/2003,WHEELING
,,,,,,,,Transfer,07/Oct/2004,MOODY
,,,,,,,,Transfer,17/Sep/2008,HOUSTON
,,,,,,,,Transfer,20/Jan/2009,MOODY
,,,,,,,,Death,17/Sep/2013,MOODY
1122,LITTLEROC,6165,Male,20/Feb/1996,1057,1060,"Captive
Birth/Hatch",Birth/Hatch,20/Feb/1996,SANDIEGOZ
,,,,,,,,Transfer,15/Oct/2002,LITTLEROC
,,,,,,,,Death,09/Dec/2013,LITTLEROC
1123,MINNESOTA,9421,Female,25/Apr/1996,1012,1044,Captive Birth/Hatch,Birth/Hatch,25/Apr/1996,DUKE PRIM
,,,,,,,,Transfer,23/Jun/1998,MINNESOTA
,,,,,,,,Death,10/Sep/1999,MINNESOTA
1124,PUEBLO,970010,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,28/Mar/1997,PUEBLO
,,,,,,,,Death,20/Aug/2013,PUEBLO
1125,PUEBLO,97001,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,28/Mar/1997,PUEBLO
,,,,,,,,Death,11/Sep/2012,PUEBLO
1126,MINNESOTA,10055,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,19/Jul/1997,S BARBARA
,,,,,,,,Transfer,20/Sep/2000,MINNESOTA
,,,,,,,,Death,11/Nov/2004,MINNESOTA
1127,SEATTLE,990229,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,USDI
,,,,,,,,Transfer,19/Jul/1997,S BARBARA
,,,,,,,,Transfer,14/Oct/1999,SEATTLE
,,,,,,,,Death,14/Oct/2008,SEATTLE
1128,LITTLEROC,5577,Female,10/Jan/1997,1051,1054,Captive Birth/Hatch,Birth/Hatch,10/Jan/1997,CHICAGOBR
,,,,,,,,Transfer,15/Dec/1998,LITTLEROC
,,,,,,,,Death,07/Feb/2014,LITTLEROC
1129,CINCINNAT,NHN,Male,10/Jan/1997,1051,1054,Captive Birth/Hatch,Birth/Hatch,10/Jan/1997,CHICAGOBR
,,,,,,,,Death,07/Feb/2008,CINCINNAT
1130,PHILADELP,103364,Male,16/Jan/1997,1041,1040,Captive Birth/Hatch,Birth/Hatch,16/Jan/1997,PHILADELP
,,,,,,,,Death,13/Jun/2013,PHILADELP
1131,ABQBIOPK,M04030,Male,05/Feb/1997,1059,1058,Captive Birth/Hatch,Birth/Hatch,05/Feb/1997,SANDIEGOZ
,,,,,,,,Transfer,16/Jul/2004,ABQBIOPK
,,,,,,,,Death,12/Sep/2014,ABQBIOPK
1132,COLUMBUS,212045,Female,05/Feb/1997,1059,1058,"Captive
Birth/Hatch",Birth/Hatch,05/Feb/1997,SANDIEGOZ
,,,,,,,,Transfer,31/Aug/2006,EL PASO
,,,,,,,,Transfer,12/Jun/2012,COLUMBUS
,,,,,,,,Death,02/Jul/2015,COLUMBUS
1133,SANDIEGOZ,597042,Female,11/Feb/1997,1065,1061,"Captive
Birth/Hatch",Birth/Hatch,11/Feb/1997,SANDIEGOZ
,,,,,,,,Death,12/Feb/1997,SANDIEGOZ
1134,SANDIEGOZ,597062,Male,20/Feb/1997,1017,1060,Captive Birth/Hatch,Birth/Hatch,20/Feb/1997,SANDIEGOZ
,,,,,,,,Death,01/Apr/1997,SANDIEGOZ
1135,SANDIEGOZ,597063,Female,20/Feb/1997,1017,1060,Captive Birth/Hatch,Birth/Hatch,20/Feb/1997,SANDIEGOZ
,,,,,,,,Transfer,"21/Feb/2002 +/-
6 month",SD-WAP
,,,,,,,,Transfer,23/Jul/2003,SANDIEGOZ
,,,,,,,,Transfer,30/Jun/2009,SEATTLE
,,,,,,,,Transfer,12/Oct/2011,SANDIEGOZ
,,,,,,,,Death,26/Mar/2014,SANDIEGOZ
1136,SEATTLE,920144,Undetermined,30/Mar/1992,1064,1043,"Captive
Birth/Hatch",Birth/Hatch,30/Mar/1992,SEATTLE
,,,,,,,,Death,30/Mar/1992,SEATTLE
1137,SEATTLE,920145,Undetermined,30/Mar/1992,1064,1043,Captive Birth/Hatch,Birth/Hatch,30/Mar/1992,SEATTLE
,,,,,,,,Death,30/Mar/1992,SEATTLE
1138,CLEVELAND,980591,Male,16/May/1998,1078,1088,"Captive
Birth/Hatch",Birth/Hatch,16/May/1998,CLEVELAND
,,,,,,,,Death,27/Mar/2010,CLEVELAND
1139,CLEVELAND,980592,Female,16/May/1998,1078,1088,Captive Birth/Hatch,Birth/Hatch,16/May/1998,CLEVELAND
,,,,,,,,Death,02/Jul/2006,CLEVELAND
1140,PUEBLO,980040,Male,26/May/1998,1125,1124,"Captive
Birth/Hatch",Birth/Hatch,26/May/1998,PUEBLO
,,,,,,,,Death,07/Mar/2003,PUEBLO
1141,SANDIEGOZ,599107,Male,19/Apr/1999,1059,1089,Captive Birth/Hatch,Birth/Hatch,19/Apr/1999,SANDIEGOZ
,,,,,,,,Transfer,30/Jun/2009,SEATTLE
,,,,,,,,Transfer,12/Oct/2011,SANDIEGOZ
,,,,,,,,Death,14/Feb/2018,SANDIEGOZ
1142,CHICAGOLP,21715,Male,19/Apr/1999,1059,1089,Captive Birth/Hatch,Birth/Hatch,19/Apr/1999,SANDIEGOZ
,,,,,,,,Transfer,11/Apr/2006,CHICAGOLP
,,,,,,,,Death,23/Feb/2015,CHICAGOLP
1143,OMAHA,11132,Female,20/Jun/1999,1104,1115,"Captive
Birth/Hatch",Birth/Hatch,20/Jun/1999,OMAHA
,,,,,,,,Death,24/Jan/2009,OMAHA
1144,OMAHA,11133,Female,20/Jun/1999,1104,1115,Captive Birth/Hatch,Birth/Hatch,20/Jun/1999,OMAHA
,,,,,,,,Death,19/Dec/2013,OMAHA
1145,MOODY,3220,Female,27/Apr/2000,1113,1089,"Captive
Birth/Hatch",Birth/Hatch,27/Apr/2000,SANDIEGOZ
,,,,,,,,Transfer,03/Jul/2002,WHEELING
,,,,,,,,Transfer,07/Oct/2004,MOODY
,,,,,,,,Transfer,17/Sep/2008,HOUSTON
,,,,,,,,Transfer,20/Jan/2009,MOODY
,,,,,,,,Death,04/Oct/2012,MOODY
1146,SANDIEGOZ,500111,Female,27/Apr/2000,1113,1089,Captive Birth/Hatch,Birth/Hatch,27/Apr/2000,SANDIEGOZ
,,,,,,,,Death,04/May/2018,SANDIEGOZ
1147,CHICAGOBR,319,Male,10/Oct/2000,1116,1054,"Captive
Birth/Hatch",Birth/Hatch,10/Oct/2000,CHICAGOBR
,,,,,,,,Death,12/Oct/2000,CHICAGOBR
1148,CHICAGOBR,320,Male,10/Oct/2000,1116,1054,Captive Birth/Hatch,Birth/Hatch,10/Oct/2000,CHICAGOBR
,,,,,,,,Death,12/Oct/2000,CHICAGOBR
1149,DUKE PRIM,2917,Female,03/Sep/2000,1103,1097,Captive Birth/Hatch,Birth/Hatch,03/Sep/2000,DUKE PRIM
,,,,,,,,Death,03/Sep/2000,DUKE PRIM
1150,PUEBLO,200008,Male,08/Mar/2000,1125,1124,Captive Birth/Hatch,Birth/Hatch,08/Mar/2000,PUEBLO
,,,,,,,,Death,07/Jan/2002,PUEBLO
1151,CLEVELAND,M40613,Male,08/Mar/2000,1125,1124,Captive Birth/Hatch,Birth/Hatch,08/Mar/2000,PUEBLO
,,,,,,,,Transfer,24/Jun/2004,CLEVELAND
,,,,,,,,Death,21/Feb/2010,CLEVELAND
2006,WARSAW,Picture,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,Undetermined,HERSHEY
,,,,,,,,Transfer,23/Oct/1986,MOSCOW
,,,,,,,,Transfer,20/May/1990,WARSAW
,,,,,,,,Death,24/Nov/1990,WARSAW
2097,FRANKFURT,33037,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,IRCHEL
,,,,,,,,Transfer,19/Apr/1990,FRANKFURT
,,,,,,,,Death,21/Jan/1996,FRANKFURT
2098,FRANKFURT,33036,Male,01/Jan/1986 +/- 6 month,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,"SWITZRLND:
Invalid use of GeoRef"
,,,,,,,,Transfer,19/Apr/1990,FRANKFURT
,,,,,,,,Death,07/Aug/2000,FRANKFURT
2108,KOLN,3036,Male,10/Apr/1989,UND,2097,Captive Birth/Hatch,Birth/Hatch,10/Apr/1989,IRCHEL
,,,,,,,,Transfer,19/Apr/1990,FRANKFURT
,,,,,,,,Transfer,26/Nov/2002,KOLN
,,,,,,,,Death,15/Nov/2003,KOLN
2129,KOLN,3037,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,,Transfer,Undetermined,PUBLIC
,,,,,,,,Transfer,12/Oct/1991,MOSCOW
,,,,,,,,Transfer,30/Apr/1992,FRANKFURT
,,,,,,,,Transfer,26/Nov/2002,KOLN
,,,,,,,,Death,06/Dec/2005,KOLN
2208,MINNESOTA,9422,Male,27/Apr/1994,2108,2129,Captive Birth/Hatch,Birth/Hatch,27/Apr/1994,FRANKFURT
,,,,,,,,Transfer,24/Jun/1998,COLUMBUS
,,,,,,,,Transfer,13/Oct/1998,MINNESOTA
,,,,,,,,Death,29/Oct/2010,MINNESOTA
2233,COLUMBUS,982064,Female,30/Jul/1996,2108,2129,Captive Birth/Hatch,Birth/Hatch,30/Jul/1996,FRANKFURT
,,,,,,,,Transfer,24/Jun/1998,COLUMBUS
,,,,,,,,Death,31/Aug/1998,COLUMBUS
2329,PUEBLO,M21002,Undetermined,07/Feb/2001,1125,1124,"Captive
Birth/Hatch",Birth/Hatch,07/Feb/2001,PUEBLO
,,,,,,,,Death,07/Feb/2001,PUEBLO
2330,PUEBLO,M21003,Undetermined,07/Feb/2001,1125,1124,Captive Birth/Hatch,Birth/Hatch,07/Feb/2001,PUEBLO
,,,,,,,,Death,11/Feb/2001,PUEBLO
2333,DUKE PRIM,2918,Undetermined,14/May/2001,1103,1097,"Captive
Birth/Hatch",Birth/Hatch,14/May/2001,DUKE PRIM
,,,,,,,,Death,14/May/2001,DUKE PRIM
2334,DUKE PRIM,2919,Undetermined,14/May/2001,1103,1097,Captive Birth/Hatch,Birth/Hatch,14/May/2001,DUKE PRIM
,,,,,,,,Death,14/May/2001,DUKE PRIM
2335,DUKE PRIM,2920,Undetermined,14/May/2001,1103,1097,Captive Birth/Hatch,Birth/Hatch,14/May/2001,DUKE PRIM
,,,,,,,,Death,23/May/2001,DUKE PRIM
2336,NY BRONX,M12221,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Transfer,22/Nov/2001,CRYSTAL G
,,,,,,,,Transfer,15/Oct/2004,IND RIV R
,,,,,,,,Transfer,02/Jun/2009,GRANBY
,,,,,,,,Transfer,20/Aug/2012,NY BRONX
,,,,,,,,Death,10/Mar/2013,NY BRONX
2337,LANGLEY,L08008,Male,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Transfer,21/Nov/2001,QUEBEC
,,,,,,,,Transfer,03/Jun/2008,LANGLEY
,,,,,,,,GO LTF,02/Nov/2010,LANGLEY
2338,CALGARY,105713,Male,"01/Jan/1999 +/-
6 month",WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1999 +/-
6 month",Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Death,13/Feb/2012,CALGARY
2339,CALGARY,105714,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Death,17/Sep/2001,CALGARY
2340,CALGARY,105715,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Death,01/Jun/2007,CALGARY
2341,BOWMANVIL,LO8009,Female,Undetermined,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Asia
,,,,,,,,Wild Capture,Undetermined,Asia
,,,,,,,,Transfer,02/Aug/2001,CALGARY
,,,,,,,,Transfer,21/Nov/2001,QUEBEC
,,,,,,,,Transfer,03/Jun/2008,LANGLEY
,,,,,,,,Transfer,02/Nov/2010,BOWMANVIL
,,,,,,,,Death,14/Feb/2012,BOWMANVIL
2342,EVANSVLLE,108024,Female,15/Aug/2001,2208,1126,Captive Birth/Hatch,Birth/Hatch,15/Aug/2001,MINNESOTA
,,,,,,,,Transfer,15/Oct/2008,EVANSVLLE
,,,,,,,,Death,16/Dec/2013,EVANSVLLE
2343,MINNESOTA,10390,Undetermined,15/Aug/2001,2208,1126,Captive Birth/Hatch,Birth/Hatch,15/Aug/2001,MINNESOTA
,,,,,,,,Death,16/Aug/2001,MINNESOTA
2400,AKRON,100217,Female,04/Jan/2003,2208,1126,"Captive
Birth/Hatch",Birth/Hatch,04/Jan/2003,MINNESOTA
,,,,,,,,Transfer,12/May/2005,AKRON
,,,,,,,,Death,30/Dec/2009,AKRON
2402,GARDENCTY,108039,Male,30/Nov/2001,1102,1127,Captive Birth/Hatch,Birth/Hatch,30/Nov/2001,SEATTLE
,,,,,,,,Transfer,26/Apr/2007,OMAHA
,,,,,,,,Transfer,02/Sep/2008,GARDENCTY
,,,,,,,,Death,04/Mar/2014,GARDENCTY
2403,OMAHA,23425,Female,30/Nov/2001,1102,1127,Captive Birth/Hatch,Birth/Hatch,30/Nov/2001,SEATTLE
,,,,,,,,Transfer,12/Nov/2003,ABQBIOPK
,,,,,,,,Transfer,07/Nov/2013,CLEVELAND
,,,,,,,,Transfer,26/Oct/2015,OMAHA
,,,,,,,,Death,26/Jan/2017,OMAHA
2405,BOWMANVIL,L08010,Female,08/Feb/2002,2338,2340,Captive Birth/Hatch,Birth/Hatch,08/Feb/2002,CALGARY
,,,,,,,,Transfer,09/Oct/2003,CRYSTAL G
,,,,,,,,Transfer,22/Mar/2005,OASES
,,,,,,,,Transfer,13/Jul/2008,LANGLEY
,,,,,,,,Transfer,02/Nov/2010,BOWMANVIL
,,,,,,,,Death,14/Jul/2013,BOWMANVIL
2406,DUKE PRIM,2921,Male,04/Mar/2002,1103,1097,Captive Birth/Hatch,Birth/Hatch,04/Mar/2002,DUKE PRIM
,,,,,,,,Death,08/May/2012,DUKE PRIM
2407,DUKE PRIM,2922,Male,04/Mar/2002,1103,1097,Captive Birth/Hatch,Birth/Hatch,04/Mar/2002,DUKE PRIM
,,,,,,,,Death,05/Mar/2002,DUKE PRIM
2408,AKRON,100363,Male,25/Mar/2002,1113,1089,"Captive
Birth/Hatch",Birth/Hatch,25/Mar/2002,SANDIEGOZ
,,,,,,,,Transfer,07/Jun/2006,AKRON
,,,,,,,,Death,01/Mar/2015,AKRON
2409,ATTLEBORO,109501,Male,25/Mar/2002,1113,1089,"Captive
Birth/Hatch",Birth/Hatch,25/Mar/2002,SANDIEGOZ
,,,,,,,,Transfer,05/Jul/2009,ATTLEBORO
,,,,,,,,Death,13/Mar/2019,ATTLEBORO
2410,PUEBLO,M22006,Male,05/Apr/2002,1125,1124,Captive Birth/Hatch,Birth/Hatch,05/Apr/2002,PUEBLO
,,,,,,,,Death,13/Jan/2004 +/- 1 day,PUEBLO
2411,BUSCH TAM,65831,Female,05/Apr/2002,1125,1124,"Captive
Birth/Hatch",Birth/Hatch,05/Apr/2002,PUEBLO
,,,,,,,,Transfer,19/Nov/2003,CHICAGOLP
,,,,,,,,Transfer,22/Apr/2015,BUSCH TAM
,,,,,,,,Death,16/Jun/2015,BUSCH TAM
2412,CHICAGOLP,20926,Male,03/Jun/2002,2208,1126,"Captive
Birth/Hatch",Birth/Hatch,03/Jun/2002,MINNESOTA
,,,,,,,,Transfer,01/Sep/2003,CHICAGOLP
,,,,,,,,Death,28/Jan/2005,CHICAGOLP
2413,CLEVELAND,M31008,Female,03/Jun/2002,2208,1126,Captive Birth/Hatch,Birth/Hatch,03/Jun/2002,MINNESOTA
,,,,,,,,Transfer,23/Oct/2003,CLEVELAND
,,,,,,,,Death,01/Aug/2007,CLEVELAND
2414,CLEVELAND,131103,Female,05/Nov/2002,1102,1127,"Captive
Birth/Hatch",Birth/Hatch,05/Nov/2002,SEATTLE
,,,,,,,,Transfer,12/Nov/2003,ABQBIOPK
,,,,,,,,Transfer,07/Nov/2013,CLEVELAND
,,,,,,,,Death,24/Apr/2020,CLEVELAND
2415,MEMPHIS,22894,Male,05/Nov/2002,1102,1127,"Captive
Birth/Hatch",Birth/Hatch,05/Nov/2002,SEATTLE
,,,,,,,,Transfer,12/Nov/2009,MEMPHIS
,,,,,,,,Death,12/May/2010,MEMPHIS
2416,MEMPHIS,22361,Female,20/Dec/2002,2338,2340,Captive Birth/Hatch,Birth/Hatch,20/Dec/2002,CALGARY
,,,,,,,,Transfer,"01/Jan/2007 +/-
6 month",ST LOUIS
,,,,,,,,Transfer,26/Oct/2007,MEMPHIS
,,,,,,,,Death,21/May/2018,MEMPHIS
2417,NY BRONX,07142,Male,20/Dec/2002,2338,2340,Captive Birth/Hatch,Birth/Hatch,20/Dec/2002,CALGARY
,,,,,,,,Transfer,07/Sep/2007,ST LOUIS
,,,,,,,,Transfer,16/Oct/2007,NY BRONX
